,1,2,3
1,7.612,1.424,17.485
2,6.675,1.492,17.442
3,7.017,1.293,16.836
4,6.901,1.423,17.804
5,7.405,1.720,18.157
6,8.344,1.049,17.387
7,20.042,19.360,15.033
8,6.538,4.190,17.122
9,6.570,1.896,17.305
10,6.835,1.640,17.426
11,12.807,11.831,19.508
12,6.799,3.948,17.713
13,7.731,1.270,16.890
14,6.914,2.250,18.289
15,6.723,3.754,17.365
